score_decile	score_lower	score_upper	n_validation	n_in_bin	observed_rate	expected_rate	lift_vs_uniform
1	0.00033481856465785765	0.2271568556793551	25	0	0.0	0.1	0.0
2	0.2271568556793551	0.7051139383151394	25	4	0.16	0.1	1.5999999999999999
3	0.7051139383151394	1.2901997338173687	25	1	0.04	0.1	0.39999999999999997
4	1.2901997338173687	1.890857411470897	25	1	0.04	0.1	0.39999999999999997
5	1.890857411470897	2.5646296349873148	25	3	0.12	0.1	1.2
6	2.5646296349873148	3.484583614698322	25	0	0.0	0.1	0.0
7	3.484583614698322	4.929940190237913	25	5	0.2	0.1	2.0
8	4.929940190237913	7.141285131572123	25	3	0.12	0.1	1.2
9	7.141285131572123	11.162626103047668	25	5	0.2	0.1	2.0
10	11.162626103047668	20.76790807996255	25	3	0.12	0.1	1.2
