top_area_pct	n_validation	n_captured	capture_rate	expected_random_rate	lift_vs_random	opportunity_capture_rate	lift_vs_opportunity
10	25	3	0.12	0.1	1.2	0.08	1.5
20	25	8	0.32	0.2	1.5999999999999999	0.16	2.0
30	25	11	0.44	0.3	1.4666666666666668	0.36	1.2222222222222223
40	25	16	0.64	0.4	1.5999999999999999	0.56	1.1428571428571428
50	25	16	0.64	0.5	1.28	0.72	0.888888888888889
60	25	19	0.76	0.6	1.2666666666666668	0.76	1.0
70	25	20	0.8	0.7	1.142857142857143	0.76	1.0526315789473684
80	25	21	0.84	0.8	1.0499999999999998	0.92	0.9130434782608695
90	25	25	1.0	0.9	1.1111111111111112	0.92	1.0869565217391304
100	25	25	1.0	1.0	1.0	1.0	1.0
