score_decile	score_lower	score_upper	n_validation	n_in_bin	observed_rate	expected_rate	lift_vs_uniform
1	0.00033481856465785765	0.2271568556793551	27	0	0.0	0.1	0.0
2	0.2271568556793551	0.7051139383151394	27	4	0.14814814814814814	0.1	1.4814814814814814
3	0.7051139383151394	1.2901997338173687	27	2	0.07407407407407407	0.1	0.7407407407407407
4	1.2901997338173687	1.890857411470897	27	2	0.07407407407407407	0.1	0.7407407407407407
5	1.890857411470897	2.5646296349873148	27	3	0.1111111111111111	0.1	1.111111111111111
6	2.5646296349873148	3.484583614698322	27	0	0.0	0.1	0.0
7	3.484583614698322	4.929940190237913	27	5	0.18518518518518517	0.1	1.8518518518518516
8	4.929940190237913	7.141285131572123	27	3	0.1111111111111111	0.1	1.111111111111111
9	7.141285131572123	11.162626103047668	27	5	0.18518518518518517	0.1	1.8518518518518516
10	11.162626103047668	20.76790807996255	27	3	0.1111111111111111	0.1	1.111111111111111
